#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Speed (ns/day)"
42.0%	420	0.8400000000000006	-759875.8648081482	228.1975004440453	553.5364176097282	7.42
43.0%	430	0.8600000000000007	-758360.9198998017	227.58241182771584	553.5364176097282	7.33
44.0%	440	0.8800000000000007	-758481.078068329	231.0975268875189	553.5364176097282	7.38
45.0%	450	0.9000000000000007	-757843.106471641	232.24559817760374	553.5364176097282	7.3
46.0%	460	0.9200000000000007	-756727.0138157844	232.88456888200488	553.5364176097282	7.26
47.0%	470	0.9400000000000007	-755946.9835942462	233.857559706344	553.5364176097282	7.16
48.0%	480	0.9600000000000007	-755191.2202349119	234.6530997265948	553.5364176097282	7.07
49.0%	490	0.9800000000000008	-754857.1102301739	236.91882267125555	553.5364176097282	7.03
50.0%	500	1.0000000000000007	-753692.387967444	236.753286213461	553.5364176097282	7.09
51.0%	510	1.0200000000000007	-753836.6031233487	239.79727703454913	553.5364176097282	7.04
52.0%	520	1.0400000000000007	-752038.4416421242	238.10555861849068	553.5364176097282	7.02
53.0%	530	1.0600000000000007	-751845.4492273154	239.85911395859296	553.5364176097282	7.01
54.0%	540	1.0800000000000007	-751436.7082334668	240.80332453202809	553.5364176097282	6.98
55.0%	550	1.1000000000000008	-750274.3248723266	239.91407522701041	553.5364176097282	7
56.0%	560	1.1200000000000008	-750847.2598603023	244.18589946174907	553.5364176097282	6.99
57.0%	570	1.1400000000000008	-749780.5341223669	244.1191656078173	553.5364176097282	6.98
58.0%	580	1.1600000000000008	-749386.3860097723	245.56482389827912	553.5364176097282	6.95
59.0%	590	1.1800000000000008	-748617.5920630582	245.46676291163845	553.5364176097282	6.92
60.0%	600	1.2000000000000008	-748273.2474310054	246.76987700544134	553.5364176097282	6.97
61.0%	610	1.2200000000000009	-747686.7640058901	247.69971470097337	553.5364176097282	6.96
62.0%	620	1.2400000000000009	-746984.8514704872	247.73806808534547	553.5364176097282	6.95
63.0%	630	1.260000000000001	-746876.9668075033	248.98197225989338	553.5364176097282	6.8
64.0%	640	1.280000000000001	-745422.3177292696	248.0691193295364	553.5364176097282	6.79
65.0%	650	1.300000000000001	-745193.8043153491	249.44715122706728	553.5364176097282	6.77
66.0%	660	1.320000000000001	-745284.132231765	251.53765710457577	553.5364176097282	6.81
67.0%	670	1.340000000000001	-745013.0350552434	252.75865247980616	553.5364176097282	6.79
68.0%	680	1.360000000000001	-744227.3689418416	253.30876805864466	553.5364176097282	6.77
69.0%	690	1.380000000000001	-744029.7704395326	254.42712518820488	553.5364176097282	6.74
70.0%	700	1.400000000000001	-742903.8181174975	253.64215816535975	553.5364176097282	6.78
71.0%	710	1.420000000000001	-742802.9976555202	255.90095325966044	553.5364176097282	6.76
72.0%	720	1.440000000000001	-741765.6319216713	255.3644760675705	553.5364176097282	6.74
73.0%	730	1.460000000000001	-740993.3056416512	255.89656039306468	553.5364176097282	6.72
74.0%	740	1.480000000000001	-740805.1770050107	257.35819956428753	553.5364176097282	6.68
75.0%	750	1.500000000000001	-740199.0606270954	257.12370335741724	553.5364176097282	6.67
76.0%	760	1.5200000000000011	-739411.7137308572	257.5718719019169	553.5364176097282	6.7
77.0%	770	1.5400000000000011	-739688.7508570501	259.88059751303723	553.5364176097282	6.69
78.0%	780	1.5600000000000012	-738849.1843021009	259.5607478515249	553.5364176097282	6.68
79.0%	790	1.5800000000000012	-738081.6444069063	259.7259087546668	553.5364176097282	6.67
80.0%	800	1.6000000000000012	-738018.7868582467	260.70693753178733	553.5364176097282	6.66
81.0%	810	1.6200000000000012	-737902.1119320942	261.69144381059886	553.5364176097282	6.67
82.0%	820	1.6400000000000012	-737067.1641133456	261.55557727796963	553.5364176097282	6.66
83.0%	830	1.6600000000000013	-736445.8996982444	261.4059511281699	553.5364176097282	6.66
84.0%	840	1.6800000000000013	-736396.234058605	261.94361114806225	553.5364176097282	6.64
85.0%	850	1.7000000000000013	-735601.6959663751	260.72349183983897	553.5364176097282	6.62
86.0%	860	1.7200000000000013	-735249.0567921391	261.8845056501658	553.5364176097282	6.6
87.0%	870	1.7400000000000013	-734172.2280308697	260.4994532496996	553.5364176097282	6.63
88.0%	880	1.7600000000000013	-734537.7256522495	262.5287083489767	553.5364176097282	6.62
89.0%	890	1.7800000000000014	-733911.6741565359	263.10695319962923	553.5364176097282	6.6
90.0%	900	1.8000000000000014	-734753.7834570925	266.36939539763404	553.5364176097282	6.59
91.0%	910	1.8200000000000014	-733927.9526860034	265.7314250545936	553.5364176097282	6.57
92.0%	920	1.8400000000000014	-733539.1805380173	266.31375711301763	553.5364176097282	6.6
93.0%	930	1.8600000000000014	-733486.0303558432	267.7366406129591	553.5364176097282	6.59
94.0%	940	1.8800000000000014	-732647.2015491738	266.98852028158336	553.5364176097282	6.57
95.0%	950	1.9000000000000015	-732352.9788780296	267.5760187231958	553.5364176097282	6.56
96.0%	960	1.9200000000000015	-732430.7541540968	268.8551920080032	553.5364176097282	6.54
97.0%	970	1.9400000000000015	-731341.8541589668	268.577920451645	553.5364176097282	6.55
98.0%	980	1.9600000000000015	-730671.2400669386	268.14633148829137	553.5364176097282	6.54
99.0%	990	1.9800000000000015	-730825.8513849936	269.82789074183773	553.5364176097282	6.53
100.0%	1000	2.0000000000000013	-730417.5521588805	269.9288640785036	553.5364176097282	6.52
